arm,seed,capability,auc,accuracy,n_train,n_test,layer
SEM_XT,1,MATH,1.0,0.93,400,200,8
SEM_XT,1,MATH,1.0,0.96,400,200,9
SEM_XT,1,MATH,1.0,0.985,400,200,10
SEM_XT,1,MATH,1.0,0.99,400,200,11
SEM_XT,1,MATH,1.0,1.0,400,200,12
SEM_XT,1,MATH,1.0,1.0,400,200,13
SEM_XT,1,MATH,1.0,1.0,400,200,14
SEM_XT,1,MATH,1.0,0.995,400,200,15
SEM_XT,1,MATH,1.0,0.99,400,200,16
SEM_XT,1,MATH,1.0,1.0,400,200,17
SEM_XT,1,MATH,1.0,1.0,400,200,18
SEM_XT,1,MATH,1.0,0.995,400,200,19
SEM_XT,1,MATH,1.0,0.995,400,200,20
SEM_XT,1,MATH,1.0,0.995,400,200,21
SEM_XT,1,MATH,1.0,0.995,400,200,22
SEM_XT,1,MATH,1.0,1.0,400,200,23
SEM_XT,1,MATH,1.0,1.0,400,200,24
SEM_XT,1,MATH,1.0,1.0,400,200,25
SEM_XT,1,MATH,1.0,1.0,400,200,26
SEM_XT,1,MATH,1.0,1.0,400,200,27
SEM_XT,1,MATH,1.0,1.0,400,200,28
SEM_XT,1,CODE,0.5,0.5,400,180,0
SEM_XT,1,CODE,0.984320987654321,0.9388888888888889,400,180,1
SEM_XT,1,CODE,0.9996296296296296,0.9888888888888889,400,180,2
SEM_XT,1,CODE,1.0,0.9944444444444445,400,180,3
SEM_XT,1,CODE,1.0,0.9666666666666667,400,180,4
SEM_XT,1,CODE,1.0,0.9666666666666667,400,180,5
SEM_XT,1,CODE,1.0,0.9777777777777777,400,180,6
SEM_XT,1,CODE,1.0,0.9777777777777777,400,180,7
SEM_XT,1,CODE,1.0,0.9833333333333333,400,180,8
SEM_XT,1,CODE,1.0,0.9944444444444445,400,180,9
SEM_XT,1,CODE,1.0,0.9944444444444445,400,180,10
SEM_XT,1,CODE,1.0,0.9944444444444445,400,180,11
SEM_XT,1,CODE,1.0,1.0,400,180,12
SEM_XT,1,CODE,1.0,1.0,400,180,13
SEM_XT,1,CODE,1.0,1.0,400,180,14
SEM_XT,1,CODE,1.0,1.0,400,180,15
SEM_XT,1,CODE,1.0,1.0,400,180,16
SEM_XT,1,CODE,1.0,1.0,400,180,17
SEM_XT,1,CODE,1.0,1.0,400,180,18
SEM_XT,1,CODE,1.0,1.0,400,180,19
SEM_XT,1,CODE,1.0,1.0,400,180,20
SEM_XT,1,CODE,1.0,1.0,400,180,21
SEM_XT,1,CODE,1.0,1.0,400,180,22
SEM_XT,1,CODE,1.0,1.0,400,180,23
SEM_XT,1,CODE,1.0,1.0,400,180,24
SEM_XT,1,CODE,1.0,1.0,400,180,25
SEM_XT,1,CODE,1.0,1.0,400,180,26
SEM_XT,1,CODE,1.0,1.0,400,180,27
SEM_XT,1,CODE,1.0,1.0,400,180,28
