arm,seed,capability,layer,source,is_primary,participation_ratio_centered,participation_ratio_uncentered,direction_norm,heldout_cohens_d,n_pairs
PW,1,MATH,10,train_templates,False,6.842549217218248,1.3353362833259659,12.185239791870117,19.09469223022461,200
PW,1,MATH,11,train_templates,False,9.523588615703671,1.2818974097486704,14.516215324401855,13.197579383850098,200
PW,1,MATH,12,train_templates,False,6.445944515583028,1.2159086830275334,18.001123428344727,22.465036392211914,200
PW,1,MATH,13,train_templates,False,5.163316381212236,1.1665830821172232,20.465543746948242,21.548105239868164,200
PW,1,MATH,14,train_templates,False,4.734030771808408,1.1434936379318383,26.19039535522461,27.366161346435547,200
PW,1,MATH,15,train_templates,False,3.5119325551525185,1.1099264591081097,30.51304817199707,36.58989334106445,200
PW,1,MATH,16,train_templates,False,7.668479742070756,1.1902013462007304,29.85317611694336,33.28739547729492,200
PW,1,MATH,17,train_templates,False,13.366382533816799,1.3364216720504098,30.313627243041992,33.22188186645508,200
PW,1,MATH,18,train_templates,False,17.156800043817466,1.3916804840499482,31.42791175842285,30.88620376586914,200
PW,1,MATH,19,train_templates,False,22.757217215405372,1.4883610878991322,34.12385177612305,28.43756103515625,200
PW,1,MATH,20,train_templates,False,23.822204842898177,1.5665058307302588,33.81966018676758,24.51966094970703,200
PW,1,MATH,21,train_templates,False,36.20745978437678,1.8307621158898089,38.166263580322266,20.577287673950195,200
PW,1,MATH,22,train_templates,False,41.6381056476722,2.222958560505175,42.28538513183594,17.56698226928711,200
PW,1,MATH,23,train_templates,False,44.394588456042385,2.27236177947355,49.60423278808594,16.16853904724121,200
PW,1,MATH,24,train_templates,False,47.607933418781265,2.4673940296688417,54.53444290161133,14.318599700927734,200
PW,1,MATH,25,train_templates,False,49.770288531506615,2.520081615577243,62.150489807128906,13.784677505493164,200
PW,1,MATH,26,train_templates,False,51.537987815173466,2.8330201694026935,64.65315246582031,12.999747276306152,200
PW,1,MATH,27,train_templates,False,52.86296306055295,2.988814721712595,72.23277282714844,10.245535850524902,200
PW,1,MATH,28,train_templates,False,48.499108190338546,3.5993334256742897,62.43428039550781,9.988295555114746,200
PW,1,MATH,0,heldout_templates,True,,,0.0,,100
PW,1,MATH,1,heldout_templates,True,5.109728069186218,1.2343554516393942,1.896571397781372,14.313444137573242,100
PW,1,MATH,2,heldout_templates,True,7.535857400299262,1.2440699481174071,3.4088079929351807,18.928241729736328,100
PW,1,MATH,3,heldout_templates,True,6.307506367644404,1.2695313900422156,5.978872776031494,14.975773811340332,100
PW,1,MATH,4,heldout_templates,True,8.648816995144784,1.406311883611678,7.375880718231201,14.405336380004883,100
PW,1,MATH,5,heldout_templates,True,8.845108212269922,1.4307510481040213,7.950896263122559,12.96866226196289,100
PW,1,MATH,6,heldout_templates,True,6.008513471500505,1.6205751851061225,8.460880279541016,11.622782707214355,100
PW,1,MATH,7,heldout_templates,True,6.330807272021067,1.6042779967996923,8.850128173828125,11.37710952758789,100
PW,1,MATH,8,heldout_templates,True,7.1393264862967545,1.499186624557566,9.344950675964355,13.730935096740723,100
PW,1,MATH,9,heldout_templates,True,7.875281710054858,1.3950234368487247,9.692051887512207,17.553897857666016,100
PW,1,MATH,10,heldout_templates,True,8.835559471346395,1.2651453863113804,12.061065673828125,19.469972610473633,100
PW,1,MATH,11,heldout_templates,True,8.844218942671425,1.2445317771899276,14.569523811340332,13.205558776855469,100
